name,ring,quadrant,isNew,status,description
Apache Hadoop,Adopt,Tools,FALSE,no change,"Apache Hadoop ist ein Framework für die verteilte Speicherung und Verarbeitung großer Datenmengen. Es ermöglicht die Analyse von Big Data und ist besonders nützlich für Datenmanagementprozesse. <a href=""https://hadoop.apache.org/"">Quelle</a>"
Apache Spark,Adopt,Tools,FALSE,no change,"Apache Spark ist eine Open-Source-Engine für die schnelle und allgemeine Datenverarbeitung. Es unterstützt verschiedene Datenverarbeitungsmodelle und ist ideal für Echtzeitanalysen. <a href=""https://spark.apache.org/"">Quelle</a>"
Data Governance,Adopt,Techniques,FALSE,no change,"Data Governance umfasst Richtlinien und Verfahren zur Verwaltung und Kontrolle von Daten innerhalb einer Organisation. Es stellt sicher, dass Daten korrekt und sicher verwendet werden. <a href=""https://www.pwc.de/de/data-and-ai/datenmanagement-im-kontext-von-kuenstlicher-intelligenz-ki.html"">Quelle</a>"
Data Lakes,Trial,Tools,TRUE,new,"Data Lakes sind zentrale Speicherorte für große Mengen unstrukturierter Daten, die für Analysezwecke verwendet werden können. Sie bieten Flexibilität und Skalierbarkeit. <a href=""https://link.springer.com/book/10.1007/978-3-658-44392-4"">Quelle</a>"
Blockchain,Assess,Techniques,TRUE,new,"Blockchain-Technologie ermöglicht sichere und transparente Transaktionen durch dezentrale Datenbanken. Sie wird zunehmend im Finanzsektor eingesetzt. <a href=""https://ventionteams.com/de/insights/fintech-branche-eine-uebersicht"">Quelle</a>"
Cloud Computing,Adopt,Platforms,FALSE,no change,"Cloud Computing bietet skalierbare und flexible IT-Ressourcen über das Internet. Es ist entscheidend für die digitale Transformation und das Datenmanagement. <a href=""https://brainhub.eu/de/library/digitale-transformations-technologien"">Quelle</a>"
Künstliche Intelligenz (KI),Adopt,Techniques,FALSE,no change,"KI-Technologien ermöglichen die Automatisierung und Analyse großer Datenmengen. Sie sind besonders relevant für die Finanzbranche und das Datenmanagement. <a href=""https://klardenker.kpmg.de/financialservices-hub/technologietrends-2025-fuer-die-finanzbranche/"">Quelle</a>"
Internet der Dinge (IoT),Assess,Techniques,TRUE,new,"IoT-Technologien vernetzen Geräte und ermöglichen die Sammlung und Analyse von Daten in Echtzeit. Sie sind wichtig für die Digitalisierung und das Datenmanagement. <a href=""https://technavigator.de/technologie/digitale-technologien/"">Quelle</a>"
Big Data Analytics,Adopt,Techniques,FALSE,no change,"Big Data Analytics umfasst Methoden zur Analyse großer Datenmengen, um wertvolle Erkenntnisse zu gewinnen. Es ist entscheidend für datengetriebene Entscheidungen. <a href=""https://www.acquisa.de/magazin/datenmanagement"">Quelle</a>"
Data Fabric,Trial,Tools,TRUE,new,"Data Fabric ist eine Architektur, die Datenmanagement und -integration über verschiedene Plattformen hinweg ermöglicht. Sie bietet eine einheitliche Sicht auf Daten. <a href=""https://bing.com/search?q=Technologien+im+Datenmanagement"">Quelle</a>"
Hannover Messe,Adopt,Platforms,FALSE,no change,"Die Hannover Messe ist eine der weltweit größten Industriemessen und bietet Einblicke in die neuesten Technologien und Trends in der Digitalisierung und Datenmanagement. <a href=""https://www.veranstaltungen-in-deutschland.de/"">Quelle</a>"
FinTech Week Hamburg,Trial,Platforms,TRUE,new,"Die FinTech Week Hamburg ist eine Veranstaltung, die sich auf Innovationen im Finanzsektor konzentriert. Sie bietet Networking-Möglichkeiten und Einblicke in neue Technologien. <a href=""https://ventionteams.com/de/insights/fintech-branche-eine-uebersicht"">Quelle</a>"
SAP,Adopt,languages-and-frameworks,FALSE,no change,"SAP ist ein führender Anbieter von Unternehmenssoftware, die Datenmanagement und Geschäftsprozesse unterstützt. <a href=""https://www.de-hub.de/mitmachen/start-ups/"">Quelle</a>"
Deutsche Bank,Assess,languages-and-frameworks,TRUE,new,"Die Deutsche Bank ist ein potenzieller Partner für Finanztechnologien und Datenmanagementlösungen.<a href=""https://unternehmensboerse.me/magazin-geschaeftspartner-gesucht/"">Quelle</a>"
IBM,Adopt,languages-and-frameworks,FALSE,no change,"IBM bietet eine Vielzahl von Lösungen für Datenmanagement und digitale Transformation.<a href=""https://crowdstartup.co/existenzgruendung/geschaeftspartner-gesucht-tipps/"">Quelle</a>"
Microsoft Azure,Adopt,Tools,FALSE,no change,"Microsoft Azure ist eine Cloud-Computing-Plattform, die skalierbare Datenmanagementlösungen bietet.<a href=""https://brainhub.eu/de/library/digitale-transformations-technologien"">Quelle</a>"
Google Cloud,Adopt,Tools,FALSE,no change,"Google Cloud bietet leistungsstarke Tools für Datenmanagement und Analyse.<a href=""https://brainhub.eu/de/library/digitale-transformations-technologien"">Quelle</a>"
Data Catalogs,Trial,Tools,TRUE,new,"Data Catalogs sind Tools zur Verwaltung und Organisation von Metadaten, die die Auffindbarkeit und Nutzung von Daten erleichtern.<a href=""https://bing.com/search?q=Technologien+im+Datenmanagement"">Quelle</a>"
Data Virtualization,Assess,Tools,TRUE,new,"Data Virtualization ermöglicht den Zugriff auf Daten, ohne dass diese physisch verschoben werden müssen. Es verbessert die Effizienz und Flexibilität im Datenmanagement.<a href=""https://bing.com/search?q=Technologien+im+Datenmanagement"">Quelle</a>"
Data Federation,Assess,Tools,TRUE,new,"Data Federation integriert Daten aus verschiedenen Quellen und bietet eine einheitliche Sicht auf diese Daten.<a href=""https://bing.com/search?q=Technologien+im+Datenmanagement"">Quelle</a>"
