name,ring,quadrant,isNew,status,description
Apache Kafka,Adopt,Tools,TRUE,new,"Apache Kafka ist eine verteilte Streaming-Plattform, die sich ideal für die Verarbeitung von Echtzeitdatenströmen eignet. <a href='https://kafka.apache.org/'>Quelle</a>"
Databricks,Trial,Platforms,TRUE,new,Databricks bietet eine einheitliche Analyseplattform für Big Data und KI. <a href='https://databricks.com/'>Quelle</a>
Data Governance Frameworks,Assess,Techniques,TRUE,new,Data Governance Frameworks helfen bei der Verwaltung und Kontrolle von Daten innerhalb einer Organisation. <a href='https://www.dataversity.net/data-governance-frameworks/'>Quelle</a>
Finanz Informatik,Adopt,languages-and-frameworks,FALSE,no change,Finanz Informatik ist der IT-Dienstleister der Sparkassen-Finanzgruppe. <a href='https://www.f-i.de/'>Quelle</a>
AWS Data Lakes,Trial,Platforms,TRUE,new,AWS Data Lakes ermöglichen die Speicherung und Analyse großer Datenmengen. <a href='https://aws.amazon.com/de/big-data/datalakes-and-analytics/'>Quelle</a>
Microsoft Azure Synapse Analytics,Assess,Tools,TRUE,new,"Azure Synapse Analytics ist ein Analysedienst, der Big Data und Data Warehousing kombiniert. <a href='https://azure.microsoft.com/de-de/services/synapse-analytics/'>Quelle</a>"
DataOps Methodology,Adopt,Techniques,FALSE,no change,DataOps ist eine Methodik zur Verbesserung der Zusammenarbeit und Automatisierung im Datenmanagement. <a href='https://www.dataops.org/'>Quelle</a>
SAP HANA,Hold,Tools,FALSE,no change,"SAP HANA ist eine In-Memory-Datenbank, die schnelle Datenverarbeitung ermöglicht. <a href='https://www.sap.com/products/hana.html'>Quelle</a>"
Big Data Summit 2023,Trial,Platforms,TRUE,new,Der Big Data Summit 2023 ist eine wichtige Veranstaltung für Experten im Bereich Big Data und Datenmanagement. <a href='https://www.bigdata-summit.de/'>Quelle</a>
Fraunhofer Institute for Intelligent Analysis and Information Systems IAIS,Assess,languages-and-frameworks,TRUE,new,Das Fraunhofer IAIS ist ein führendes Forschungsinstitut für intelligente Datenanalyse und Informationssysteme. <a href='https://www.iais.fraunhofer.de/'>Quelle</a>
